genome	depth	basecalling	assembler	errors
Klebsiella_variicola_AJ292	70	simplex	trycycler	2
Klebsiella_variicola_AJ292	70	duplex	canu	4
Klebsiella_variicola_AJ292	70	duplex	flye	237
Klebsiella_variicola_AJ292	70	duplex	miniasm	46
Klebsiella_variicola_AJ292	70	duplex	necat	2787
Klebsiella_variicola_AJ292	70	duplex	nextdenovo	7
Klebsiella_variicola_AJ292	70	duplex	raven	53864
Klebsiella_variicola_AJ292	70	duplex	trycycler	2
Klebsiella_variicola_AJ292	75	simplex	canu	11
Klebsiella_variicola_AJ292	75	simplex	flye	3
Klebsiella_variicola_AJ292	75	simplex	miniasm	47
Klebsiella_variicola_AJ292	75	simplex	necat	73
Klebsiella_variicola_AJ292	75	simplex	nextdenovo	6
Klebsiella_variicola_AJ292	75	simplex	raven	34
Klebsiella_variicola_AJ292	75	simplex	trycycler	1
Klebsiella_variicola_AJ292	75	duplex	canu	6
Klebsiella_variicola_AJ292	75	duplex	flye	3
Klebsiella_variicola_AJ292	75	duplex	miniasm	28
Klebsiella_variicola_AJ292	75	duplex	necat	2834
Klebsiella_variicola_AJ292	75	duplex	nextdenovo	3
Klebsiella_variicola_AJ292	75	duplex	raven	13
Klebsiella_variicola_AJ292	75	duplex	trycycler	0
Klebsiella_variicola_AJ292	80	simplex	canu	10
Klebsiella_variicola_AJ292	80	simplex	flye	2955
Klebsiella_variicola_AJ292	80	simplex	miniasm	48
Klebsiella_variicola_AJ292	80	simplex	necat	3051
Klebsiella_variicola_AJ292	80	simplex	nextdenovo	8
Klebsiella_variicola_AJ292	80	simplex	raven	246
Klebsiella_variicola_AJ292	80	simplex	trycycler	1
Klebsiella_variicola_AJ292	80	duplex	canu	8
Klebsiella_variicola_AJ292	80	duplex	flye	3
Klebsiella_variicola_AJ292	80	duplex	miniasm	33
Klebsiella_variicola_AJ292	80	duplex	necat	2885
Klebsiella_variicola_AJ292	80	duplex	nextdenovo	7
Klebsiella_variicola_AJ292	80	duplex	raven	279
Klebsiella_variicola_AJ292	80	duplex	trycycler	1
Staphylococcus_aureus_BPH2947	20	simplex	canu	35
Staphylococcus_aureus_BPH2947	20	simplex	flye	7
Staphylococcus_aureus_BPH2947	20	simplex	miniasm	4
Staphylococcus_aureus_BPH2947	20	simplex	necat	27
Staphylococcus_aureus_BPH2947	20	simplex	nextdenovo	20
Staphylococcus_aureus_BPH2947	20	simplex	raven	60
Staphylococcus_aureus_BPH2947	20	simplex	trycycler	4
Staphylococcus_aureus_BPH2947	20	duplex	canu	50
Staphylococcus_aureus_BPH2947	20	duplex	flye	4
Staphylococcus_aureus_BPH2947	20	duplex	miniasm	1
Staphylococcus_aureus_BPH2947	20	duplex	necat	244
Staphylococcus_aureus_BPH2947	20	duplex	nextdenovo	16
Staphylococcus_aureus_BPH2947	20	duplex	raven	84
Staphylococcus_aureus_BPH2947	20	duplex	trycycler	2
Staphylococcus_aureus_BPH2947	25	simplex	canu	7
Staphylococcus_aureus_BPH2947	25	simplex	flye	4
Staphylococcus_aureus_BPH2947	25	simplex	miniasm	21
Staphylococcus_aureus_BPH2947	25	simplex	necat	36
Staphylococcus_aureus_BPH2947	25	simplex	nextdenovo	22
Staphylococcus_aureus_BPH2947	25	simplex	raven	79
Staphylococcus_aureus_BPH2947	25	simplex	trycycler	3
Staphylococcus_aureus_BPH2947	25	duplex	canu	5
Staphylococcus_aureus_BPH2947	25	duplex	flye	1
Staphylococcus_aureus_BPH2947	25	duplex	miniasm	32
Staphylococcus_aureus_BPH2947	25	duplex	necat	24
Staphylococcus_aureus_BPH2947	25	duplex	nextdenovo	24
Staphylococcus_aureus_BPH2947	25	duplex	raven	428
Staphylococcus_aureus_BPH2947	25	duplex	trycycler	3
Staphylococcus_aureus_BPH2947	30	simplex	canu	7
Staphylococcus_aureus_BPH2947	30	simplex	flye	3
Staphylococcus_aureus_BPH2947	30	simplex	miniasm	2
Staphylococcus_aureus_BPH2947	30	simplex	necat	62
Staphylococcus_aureus_BPH2947	30	simplex	nextdenovo	14
Staphylococcus_aureus_BPH2947	30	simplex	raven	35
Staphylococcus_aureus_BPH2947	30	simplex	trycycler	3
Staphylococcus_aureus_BPH2947	30	duplex	canu	7
Staphylococcus_aureus_BPH2947	30	duplex	flye	8
Staphylococcus_aureus_BPH2947	30	duplex	miniasm	19
Staphylococcus_aureus_BPH2947	30	duplex	necat	151
Staphylococcus_aureus_BPH2947	30	duplex	nextdenovo	17
Staphylococcus_aureus_BPH2947	30	duplex	raven	47
Staphylococcus_aureus_BPH2947	30	duplex	trycycler	3
Staphylococcus_aureus_BPH2947	35	simplex	canu	5
Staphylococcus_aureus_BPH2947	35	simplex	flye	2
Staphylococcus_aureus_BPH2947	35	simplex	miniasm	7
Staphylococcus_aureus_BPH2947	35	simplex	necat	17
Staphylococcus_aureus_BPH2947	35	simplex	nextdenovo	9
Staphylococcus_aureus_BPH2947	35	simplex	raven	14
Staphylococcus_aureus_BPH2947	35	simplex	trycycler	2
Staphylococcus_aureus_BPH2947	35	duplex	canu	6
Staphylococcus_aureus_BPH2947	35	duplex	flye	2
Staphylococcus_aureus_BPH2947	35	duplex	miniasm	11
Staphylococcus_aureus_BPH2947	35	duplex	necat	33
Staphylococcus_aureus_BPH2947	35	duplex	nextdenovo	10
Staphylococcus_aureus_BPH2947	35	duplex	raven	40
Staphylococcus_aureus_BPH2947	35	duplex	trycycler	2
Staphylococcus_aureus_BPH2947	40	simplex	canu	3
Staphylococcus_aureus_BPH2947	40	simplex	flye	4
Staphylococcus_aureus_BPH2947	40	simplex	miniasm	9
Staphylococcus_aureus_BPH2947	40	simplex	necat	75
Staphylococcus_aureus_BPH2947	40	simplex	nextdenovo	14
Staphylococcus_aureus_BPH2947	40	simplex	raven	38154
Staphylococcus_aureus_BPH2947	40	simplex	trycycler	1
Staphylococcus_aureus_BPH2947	40	duplex	canu	1
Staphylococcus_aureus_BPH2947	40	duplex	flye	2
Staphylococcus_aureus_BPH2947	40	duplex	miniasm	2
Staphylococcus_aureus_BPH2947	40	duplex	necat	40
Staphylococcus_aureus_BPH2947	40	duplex	nextdenovo	11
Staphylococcus_aureus_BPH2947	40	duplex	raven	37919
Staphylococcus_aureus_BPH2947	40	duplex	trycycler	0
Staphylococcus_aureus_BPH2947	45	simplex	canu	4
Staphylococcus_aureus_BPH2947	45	simplex	flye	4
Staphylococcus_aureus_BPH2947	45	simplex	miniasm	2
Staphylococcus_aureus_BPH2947	45	simplex	necat	13
Staphylococcus_aureus_BPH2947	45	simplex	nextdenovo	7
Staphylococcus_aureus_BPH2947	45	simplex	raven	31
Staphylococcus_aureus_BPH2947	45	simplex	trycycler	1
Staphylococcus_aureus_BPH2947	45	duplex	canu	6
Staphylococcus_aureus_BPH2947	45	duplex	flye	1
Staphylococcus_aureus_BPH2947	45	duplex	miniasm	5
Staphylococcus_aureus_BPH2947	45	duplex	necat	67
Staphylococcus_aureus_BPH2947	45	duplex	nextdenovo	9
Staphylococcus_aureus_BPH2947	45	duplex	raven	16
Staphylococcus_aureus_BPH2947	45	duplex	trycycler	2
Staphylococcus_aureus_BPH2947	50	simplex	canu	1
Staphylococcus_aureus_BPH2947	50	simplex	flye	1
Staphylococcus_aureus_BPH2947	50	simplex	miniasm	18
Staphylococcus_aureus_BPH2947	50	simplex	necat	96
Staphylococcus_aureus_BPH2947	50	simplex	nextdenovo	10
Staphylococcus_aureus_BPH2947	50	simplex	raven	15
Staphylococcus_aureus_BPH2947	50	simplex	trycycler	1
Staphylococcus_aureus_BPH2947	50	duplex	canu	1
Staphylococcus_aureus_BPH2947	50	duplex	flye	1
Staphylococcus_aureus_BPH2947	50	duplex	miniasm	0
Staphylococcus_aureus_BPH2947	50	duplex	necat	64
Staphylococcus_aureus_BPH2947	50	duplex	nextdenovo	7
Staphylococcus_aureus_BPH2947	50	duplex	raven	18
Staphylococcus_aureus_BPH2947	50	duplex	trycycler	0
Staphylococcus_aureus_BPH2947	55	simplex	canu	4
Staphylococcus_aureus_BPH2947	55	simplex	flye	3
Staphylococcus_aureus_BPH2947	55	simplex	miniasm	4
Staphylococcus_aureus_BPH2947	55	simplex	necat	180
Staphylococcus_aureus_BPH2947	55	simplex	nextdenovo	9
Staphylococcus_aureus_BPH2947	55	simplex	raven	15
Staphylococcus_aureus_BPH2947	55	simplex	trycycler	2
Staphylococcus_aureus_BPH2947	55	duplex	canu	3
Staphylococcus_aureus_BPH2947	55	duplex	flye	3
Staphylococcus_aureus_BPH2947	55	duplex	miniasm	5
Staphylococcus_aureus_BPH2947	55	duplex	necat	126
Staphylococcus_aureus_BPH2947	55	duplex	nextdenovo	7
Staphylococcus_aureus_BPH2947	55	duplex	raven	9
Staphylococcus_aureus_BPH2947	55	duplex	trycycler	1
Staphylococcus_aureus_BPH2947	60	simplex	canu	5
Staphylococcus_aureus_BPH2947	60	simplex	flye	3
Staphylococcus_aureus_BPH2947	60	simplex	miniasm	64
Staphylococcus_aureus_BPH2947	60	simplex	necat	215
Staphylococcus_aureus_BPH2947	60	simplex	nextdenovo	9
Staphylococcus_aureus_BPH2947	60	simplex	raven	9
Staphylococcus_aureus_BPH2947	60	simplex	trycycler	2
Staphylococcus_aureus_BPH2947	60	duplex	canu	5
Staphylococcus_aureus_BPH2947	60	duplex	flye	2
Staphylococcus_aureus_BPH2947	60	duplex	miniasm	15
Staphylococcus_aureus_BPH2947	60	duplex	necat	153
Staphylococcus_aureus_BPH2947	60	duplex	nextdenovo	10
Staphylococcus_aureus_BPH2947	60	duplex	raven	5
Staphylococcus_aureus_BPH2947	60	duplex	trycycler	2
Staphylococcus_aureus_BPH2947	65	simplex	canu	3
Staphylococcus_aureus_BPH2947	65	simplex	flye	10
Staphylococcus_aureus_BPH2947	65	simplex	miniasm	14
Staphylococcus_aureus_BPH2947	65	simplex	necat	53
Staphylococcus_aureus_BPH2947	65	simplex	nextdenovo	11
Staphylococcus_aureus_BPH2947	65	simplex	raven	6
Staphylococcus_aureus_BPH2947	65	simplex	trycycler	2
Staphylococcus_aureus_BPH2947	65	duplex	canu	3
Staphylococcus_aureus_BPH2947	65	duplex	flye	1
Staphylococcus_aureus_BPH2947	65	duplex	miniasm	9
Staphylococcus_aureus_BPH2947	65	duplex	necat	20
Staphylococcus_aureus_BPH2947	65	duplex	nextdenovo	6
Staphylococcus_aureus_BPH2947	65	duplex	raven	9
Staphylococcus_aureus_BPH2947	65	duplex	trycycler	1
Staphylococcus_aureus_BPH2947	70	simplex	canu	2
Staphylococcus_aureus_BPH2947	70	simplex	flye	1
Staphylococcus_aureus_BPH2947	70	simplex	miniasm	7
Staphylococcus_aureus_BPH2947	70	simplex	necat	36
Staphylococcus_aureus_BPH2947	70	simplex	nextdenovo	6
Staphylococcus_aureus_BPH2947	70	simplex	raven	10
Staphylococcus_aureus_BPH2947	70	simplex	trycycler	1
Staphylococcus_aureus_BPH2947	70	duplex	canu	4
Staphylococcus_aureus_BPH2947	70	duplex	flye	1
Staphylococcus_aureus_BPH2947	70	duplex	miniasm	1
Staphylococcus_aureus_BPH2947	70	duplex	necat	51
Staphylococcus_aureus_BPH2947	70	duplex	nextdenovo	7
Staphylococcus_aureus_BPH2947	70	duplex	raven	7
Staphylococcus_aureus_BPH2947	70	duplex	trycycler	0
Staphylococcus_aureus_BPH2947	75	simplex	canu	4
Staphylococcus_aureus_BPH2947	75	simplex	flye	3
Staphylococcus_aureus_BPH2947	75	simplex	miniasm	25
Staphylococcus_aureus_BPH2947	75	simplex	necat	43
Staphylococcus_aureus_BPH2947	75	simplex	nextdenovo	6
Staphylococcus_aureus_BPH2947	75	simplex	raven	15
Staphylococcus_aureus_BPH2947	75	simplex	trycycler	2
Staphylococcus_aureus_BPH2947	75	duplex	canu	4
Staphylococcus_aureus_BPH2947	75	duplex	flye	1
Staphylococcus_aureus_BPH2947	75	duplex	miniasm	62
Staphylococcus_aureus_BPH2947	75	duplex	necat	61
Staphylococcus_aureus_BPH2947	75	duplex	nextdenovo	5
Staphylococcus_aureus_BPH2947	75	duplex	raven	12
Staphylococcus_aureus_BPH2947	75	duplex	trycycler	0
Staphylococcus_aureus_BPH2947	80	simplex	canu	0
Staphylococcus_aureus_BPH2947	80	simplex	flye	1
Staphylococcus_aureus_BPH2947	80	simplex	miniasm	41
Staphylococcus_aureus_BPH2947	80	simplex	necat	12
Staphylococcus_aureus_BPH2947	80	simplex	nextdenovo	6
Staphylococcus_aureus_BPH2947	80	simplex	raven	10
Staphylococcus_aureus_BPH2947	80	simplex	trycycler	0
Staphylococcus_aureus_BPH2947	80	duplex	canu	3
Staphylococcus_aureus_BPH2947	80	duplex	flye	0
Staphylococcus_aureus_BPH2947	80	duplex	miniasm	25
Staphylococcus_aureus_BPH2947	80	duplex	necat	46
Staphylococcus_aureus_BPH2947	80	duplex	nextdenovo	5
Staphylococcus_aureus_BPH2947	80	duplex	raven	5
Staphylococcus_aureus_BPH2947	80	duplex	trycycler	0
Streptococcus_pyogenes_RDH275	20	simplex	canu	23
Streptococcus_pyogenes_RDH275	20	simplex	flye	9
Streptococcus_pyogenes_RDH275	20	simplex	miniasm	8
Streptococcus_pyogenes_RDH275	20	simplex	necat	37
Streptococcus_pyogenes_RDH275	20	simplex	nextdenovo	20
Streptococcus_pyogenes_RDH275	20	simplex	raven	33
Streptococcus_pyogenes_RDH275	20	simplex	trycycler	8
Streptococcus_pyogenes_RDH275	20	duplex	canu	20
Streptococcus_pyogenes_RDH275	20	duplex	flye	11
Streptococcus_pyogenes_RDH275	20	duplex	miniasm	10
Streptococcus_pyogenes_RDH275	20	duplex	necat	14
Streptococcus_pyogenes_RDH275	20	duplex	nextdenovo	21
Streptococcus_pyogenes_RDH275	20	duplex	raven	39
Streptococcus_pyogenes_RDH275	20	duplex	trycycler	5
Streptococcus_pyogenes_RDH275	25	simplex	canu	11
Streptococcus_pyogenes_RDH275	25	simplex	flye	9
Streptococcus_pyogenes_RDH275	25	simplex	miniasm	3
Streptococcus_pyogenes_RDH275	25	simplex	necat	29
Streptococcus_pyogenes_RDH275	25	simplex	nextdenovo	17
Streptococcus_pyogenes_RDH275	25	simplex	raven	11
Streptococcus_pyogenes_RDH275	25	simplex	trycycler	2
Streptococcus_pyogenes_RDH275	25	duplex	canu	9
Streptococcus_pyogenes_RDH275	25	duplex	flye	4
Streptococcus_pyogenes_RDH275	25	duplex	miniasm	4
Streptococcus_pyogenes_RDH275	25	duplex	necat	28
Streptococcus_pyogenes_RDH275	25	duplex	nextdenovo	6
Streptococcus_pyogenes_RDH275	25	duplex	raven	15
Streptococcus_pyogenes_RDH275	25	duplex	trycycler	2
Streptococcus_pyogenes_RDH275	30	simplex	canu	13
Streptococcus_pyogenes_RDH275	30	simplex	flye	3
Streptococcus_pyogenes_RDH275	30	simplex	miniasm	3
Streptococcus_pyogenes_RDH275	30	simplex	necat	9
Streptococcus_pyogenes_RDH275	30	simplex	nextdenovo	5
Streptococcus_pyogenes_RDH275	30	simplex	raven	18
Streptococcus_pyogenes_RDH275	30	simplex	trycycler	2
Streptococcus_pyogenes_RDH275	30	duplex	canu	10
Streptococcus_pyogenes_RDH275	30	duplex	flye	3
Streptococcus_pyogenes_RDH275	30	duplex	miniasm	5
Streptococcus_pyogenes_RDH275	30	duplex	necat	5
Streptococcus_pyogenes_RDH275	30	duplex	nextdenovo	8
Streptococcus_pyogenes_RDH275	30	duplex	raven	21
Streptococcus_pyogenes_RDH275	30	duplex	trycycler	2
Streptococcus_pyogenes_RDH275	35	simplex	canu	8
Streptococcus_pyogenes_RDH275	35	simplex	flye	3
Streptococcus_pyogenes_RDH275	35	simplex	miniasm	15
Streptococcus_pyogenes_RDH275	35	simplex	necat	9
Streptococcus_pyogenes_RDH275	35	simplex	nextdenovo	8
Streptococcus_pyogenes_RDH275	35	simplex	raven	14
Streptococcus_pyogenes_RDH275	35	simplex	trycycler	2
Streptococcus_pyogenes_RDH275	35	duplex	canu	4
Streptococcus_pyogenes_RDH275	35	duplex	flye	1
Streptococcus_pyogenes_RDH275	35	duplex	miniasm	4
Streptococcus_pyogenes_RDH275	35	duplex	necat	18
Streptococcus_pyogenes_RDH275	35	duplex	nextdenovo	10
Streptococcus_pyogenes_RDH275	35	duplex	raven	12
Streptococcus_pyogenes_RDH275	35	duplex	trycycler	3
Streptococcus_pyogenes_RDH275	40	simplex	canu	7
Streptococcus_pyogenes_RDH275	40	simplex	flye	3
Streptococcus_pyogenes_RDH275	40	simplex	miniasm	10
Streptococcus_pyogenes_RDH275	40	simplex	necat	24
Streptococcus_pyogenes_RDH275	40	simplex	nextdenovo	2
Streptococcus_pyogenes_RDH275	40	simplex	raven	8
Streptococcus_pyogenes_RDH275	40	simplex	trycycler	2
Streptococcus_pyogenes_RDH275	40	duplex	canu	6
Streptococcus_pyogenes_RDH275	40	duplex	flye	2
Streptococcus_pyogenes_RDH275	40	duplex	miniasm	2
Streptococcus_pyogenes_RDH275	40	duplex	necat	39
Streptococcus_pyogenes_RDH275	40	duplex	nextdenovo	3
Streptococcus_pyogenes_RDH275	40	duplex	raven	6
Streptococcus_pyogenes_RDH275	40	duplex	trycycler	1
Streptococcus_pyogenes_RDH275	45	simplex	canu	5
Streptococcus_pyogenes_RDH275	45	simplex	flye	2
Streptococcus_pyogenes_RDH275	45	simplex	miniasm	23
Streptococcus_pyogenes_RDH275	45	simplex	necat	21
Streptococcus_pyogenes_RDH275	45	simplex	nextdenovo	1
Streptococcus_pyogenes_RDH275	45	simplex	raven	8
Streptococcus_pyogenes_RDH275	45	simplex	trycycler	0
